#  试验概况 
台网,蒙特卡洛次数,成功,失败,3D误差>1km比例(%),严阈值成功(strict),补全兜底(completed)
原7台,300,300,0,10.416666666666668,298,2
20台加密,300,300,0,0.0,-,-

#  误差统计_原7台 
指标,均值,中位,95%分位,最大
水平误差(m),134.79352615675208,107.52559523089252,331.2581545020976,635.3971694484678
高程误差(m),454.529713357363,354.25778004913354,1195.9869002282342,1964.4787065959445
3D误差(m),485.79730984080527,373.91489368439727,1224.348663414286,2018.1502857756727
时刻误差(ms),522.5267874342942,394.48954044186735,1443.423772684013,2688.044913024944

#  误差统计_20台加密 
指标,均值,中位,95%分位,最大
水平误差(m),60.19922986240387,54.75846610490845,129.00245897921695,216.01013039420306
高程误差(m),168.94659947633426,136.82768588949875,449.219340075152,796.8893483787415
3D误差(m),186.61461355593863,148.62920873029697,456.9458670636376,809.8606527460125
时刻误差(ms),208.4688625131278,163.3703105371991,555.7984503704193,867.7159664876743

#  误差明细_原7台 
试验序号,残骸,水平误差(m),高程误差(m),3D误差(m),时刻误差(ms)
8,#2,118.29570795778882,95.44149643615856,151.99655839264167,65.05816189367053
8,#3,79.85770274788148,470.04965170969626,476.78499112343684,305.8721941778728
8,#4,261.2046868635752,91.94581790762277,276.9150083874114,359.85290663925264
9,#1,244.42671715715454,736.7166856269214,776.2060905077592,1170.8128067961975
9,#2,150.56993225213012,793.6011156306686,807.7586491203006,691.3819788188889
9,#3,69.70492356286854,697.8602901635313,701.3328460553045,392.2711914696837
9,#4,13.870219504294802,18.93152560456292,23.468822953304272,116.96942767117946
10,#1,196.95848505831884,625.0670470635596,655.3636075959865,918.7020000666593
10,#2,216.40242482193733,898.1276267532758,923.830743917026,966.2300642580205
10,#3,25.806052721464113,225.1926870761199,226.66649216332405,28.112163212592023
10,#4,71.05700449172528,170.9080185727562,185.09092009010772,236.46098853807194
11,#1,107.39794679542082,428.0609333398879,441.3280884191352,510.9295078533087
11,#2,159.59787195898613,801.5801811555702,817.3140568687373,831.6631227659012
11,#3,78.01221326402496,421.2012826381215,428.36482805472065,368.37903753811577
11,#4,116.7128925862381,66.33559064508154,134.2471969244743,127.55771454222753
12,#1,282.2884156164885,1189.1769183086053,1222.2227671865792,1404.1064346882256
12,#2,193.79902579705075,711.1062847958019,737.0415257473448,735.1003645240474
12,#3,10.723682608956159,167.04203936688282,167.3859022873338,282.20285214165665
12,#4,105.80229967393578,482.5877286084742,494.0496355830856,554.3132003599159
13,#1,282.53082548777013,529.9734696054766,600.5793418329237,846.4125987989793
13,#2,175.66024706343381,750.8498298037612,771.1238482336827,855.5819641122042
13,#3,101.22033140699422,703.2706862499144,710.5175674313531,551.4848463673871
13,#4,283.3241058516336,268.0505253457486,390.0302976625784,630.5078341531676
14,#1,13.346873518713924,314.991542531292,315.27418368614843,213.27992057346634
14,#2,326.06894268191087,1148.8780767748485,1194.2536542441787,1536.8113551003298
14,#3,46.20085229114193,88.66827351965367,99.98290594588671,32.81653747690427
14,#4,45.485894343650315,87.37198214743512,98.50294335000066,107.7737905411027
15,#1,63.90994249562422,626.5019051331255,629.7532198291882,782.7795203428689
